"Gouv.","Lon","Lat","S/S","Adresse","Localite","Shop ","Cafeteria","Lavage","24h/24","Restaurant","Carte pétrolière","Gasoil 50","Pétrole bleu","Gaz Bouteille","GPL","Vidange","Mélange 2T","gasoil","Lubrifiants","pneumatique","diagnostique"
"Kairouan","9.562377","35.618686","EL ALAA","CENTRE VILLE","EL ALAA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kairouan","9.669131","35.638578","HAFFOUZ","CENTRE VILLE","HAFFOUZ","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kairouan","10.094479","35.674179","KAIROUAN","CENTRE VILLE","KAIROUAN","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Kairouan","10.047623","35.388565","S.A.BOU HADJILA","ROUTE GP2","S.A.BOU HADJILA","","","","Oui","","Oui","Oui","Oui","","","","Oui","Oui","Oui","",""
"Kairouan","9.840092","35.344217","NASRALLAH","MC 98","NASRALLAH","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kairouan","10.000110","35.712659","EL BATEN","ROUTE GP3","EL BATEN","Oui","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kairouan","9.854299","35.426992","MENZEL MEHIRI","ROUTE DE KAIROUAN MC98","MENZEL MEHIRI","","","","Oui","","Oui","Oui","Oui","","","","Oui","Oui","Oui","",""
"Kairouan","10.033807","35.112898","CHERARDA","CHERARDA GP2 ROUTE KAIROUAN","CHERARDA","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Kasserine","8.819557","35.168204","KASSERINE","CENTRE VILLE","KASSERINE","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kasserine","8.570283","34.947754","FERIANA","CENTRE VILLE","FERIANA","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Kasserine","8.669227","35.578240","THALA","CENTRE VILLE","THALA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kasserine","8.522113","34.747496","M.BEL ABBES","CENTRE VILLE","M.BEL ABBES","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Kasserine","8.630080","35.352770","FOUSSANA","CENTRE VILLE","FOUSSANA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kasserine","8.732769","35.630899","SIDI SHIL","CENTRE VILLE","SIDI SHIL","","","","Oui","","Oui","","Oui","","","","Oui","Oui","","",""
"Kasserine","9.130929","35.230268","SBEITLA","CENTRE VILLE","SBEITLA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kasserine","8.886212","35.538929","EL AYOUN","CENTRE VILLE","EL AYOUN","","","","Oui","","Oui","Oui","Oui","","","","Oui","Oui","","",""
"Kasserine","9.074414","35.549716","SBIBA","CENTRE VILLE","SBIBA","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Kebili","8.974633","33.716297","KEBILI","CENTRE VILLE","KEBILI","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Kebili","9.022988","33.474843","DOUZ","ROUTE DE KEBILI","DOUZ","","","Oui","Oui","","Oui","Oui","Oui","","","","Oui","Oui","Oui","",""
"Kebili","8.955396","33.714961","ROUTE EL MANSOURA","ROUTE EL MANSOURA","KEBILI","","","","Oui","","Oui","Oui","","Oui","Oui","","Oui","Oui","Oui","",""
"Kebili","","","SOUK LAHAD","SOUK LAHAD","SOUK LAHAD","","","","","","","","Non encore construite","","","","","","","",""
"Kebili","8.686351","33.361762","EL FAOUAR","EL FAOUAR","KEBILI","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kef","8.830930","35.945687","DAHMANI","CENTRE VILLE","DAHMANI","","","Oui","Oui","Oui","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kef","8.705172","36.170026","LE KEF","CENTRE VILLE","LE KEF","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kef","9.021843","36.072087","LE SERS","CENTRE VILLE","LE SERS","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kef","8.357239","36.215737","SAKIET S.YOUSSEF","ROUTE DU KEF","SAKIET S.YOUSSEF","","Oui","Oui","Oui","","Oui","","Oui","Oui","","Oui","Oui","Oui","Oui","",""
